Address,Value,PreviousValue,InitialValue
0x00a8206c,0x41000000,0x40e00000,0x3f800000
0x00a8206d,0x03410000,0x0340e000,0x033f8000
0x00a8206e,0x00034100,0x000340e0,0x00033f80
0x00a833dd,0x38000000,0x37000000,0x31000000
0x00a833de,0x00380000,0x00370000,0x00310000
0x00a833df,0x30003800,0x30003700,0x30003100
0x00a833e0,0x30300038,0x30300037,0x30300031
0x01fbee53,0xaa25e189,0xa7dfcdec,0x9476b081
0x01fbee54,0x3faa25e1,0x3fa7dfcd,0x3f9476b0
0x01fbee55,0x033faa25,0x033fa7df,0x033f9476
0x01fbee56,0x00033faa,0x00033fa7,0x00033f94
0x01fbeeec,0x40200000,0x401c0000,0x3ff00000
0x01fbeeed,0x00402000,0x00401c00,0x003ff000
0x01fbeeee,0x00004020,0x0000401c,0x00003ff0
0x01fbef0c,0x40200000,0x401c0000,0x3ff00000
0x01fbef0d,0x74402000,0x74401c00,0x743ff000
0x01fbef0e,0xef744020,0xef74401c,0xef743ff0
