Address,Offset,State1,State2
0x00ecc8,+0xFFFFF008,1294a8,129480
0x00ecd4,+0xFFFFF380,129130,129108
0x00ecd8,+0xFFFFF380,129130,129108
0x00ecdc,+0xFFFFEFE0,1294d0,1294a8
0x00ecf8,+0x115,12839b,128373
0x00ecfc,+0x150,128360,128338
0x00ed00,+0xFFFFF380,129130,129108
0x00ed04,+0xFFFFF380,129130,129108
0x00ef98,+0x12847B,000035,00000d
0x00f002,+0x1241E8,0042c8,0042a0
0x0cf274,+0x150,128360,128338
0x0d48f8,+0x3B8C,124924,1248fc
0x0d48fc,+0x3B70,124940,124918
0x0d4900,+0x2A1C,125a94,125a6c
0x0d4904,+0x2A00,125ab0,125a88
0x0d4908,+0x18AC,126c04,126bdc
0x0d490c,+0x1890,126c20,126bf8
0x0d4910,+0x73C,127d74,127d4c
0x0d4914,+0x720,127d90,127d68
0x0d4918,+0xFFFFF5CC,128ee4,128ebc
0x0d491c,+0xFFFFF5B0,128f00,128ed8
0x0de068,+0xFFFFF440,129070,129048
0x0e4075,+0xFFD1E480,40a030,40a008
0x0e449c,+0x4710,123da0,123d78
0x0e44a8,+0x35A0,124f10,124ee8
0x0e44b4,+0x2430,126080,126058
0x0e44c0,+0x12C0,1271f0,1271c8
0x0e44cc,+0x150,128360,128338
0x111c04,+0x15C,128354,12832c
0x1184f4,+0xFFFFEA58,129a58,129a30
0x11853c,+0xFFFFEB5C,129954,12992c
0x118800,+0xFFFFF008,1294a8,129480
0x1189c8,+0xFFFFEA58,129a58,129a30
0x11990a,+0xFC248,02c268,02c240
0x1199ee,+0xFC248,02c268,02c240
0x11fdf9,+0xFFD1E480,40a030,40a008
0x1215b1,+0xFFD1E480,40a030,40a008
0x1226f9,+0xFFD1E480,40a030,40a008
0x122fd0,+0x4738,123d78,123d50
0x122ff8,+0x4710,123da0,123d78
0x1237c9,+0xFFD1E480,40a030,40a008
0x1b637c,+0x1283E3,0000cd,0000a5
0x1b6820,+0x1283E3,0000cd,0000a5
0x1b6828,+0x1283E3,0000cd,0000a5
0x1b6838,+0x1283E3,0000cd,0000a5
0x1b7629,+0x12845E,000052,00002a
0x1b7e98,+0xFFFFEB5C,129954,12992c
0x1b7ea4,+0xFFFFEB3C,129974,12994c
0x1c8a2e,+0xFF1341DE,ff42d2,ff42aa
0x1ce792,+0x1241AC,004304,0042dc
0x1ce79e,+0x1241AC,004304,0042dc
0x1d5552,+0x1241AC,004304,0042dc
0x1d555e,+0x1241AC,004304,0042dc
0x2ba7da,+0x1184BD,00fff3,00ffcb
0x2bbca6,+0x12411A,004396,00436e
0x2bbcca,+0x12411A,004396,00436e
0x2bd3ad,+0xE7A7E,040a32,040a0a
0x3b9645,+0x1232DA,0051d6,0051ae
0x3b9e3d,+0x122405,0060ab,006083
0x3ba0ad,+0x1221EA,0062c6,00629e
0x3ba0f5,+0x1221C2,0062ee,0062c6
0x3d8121,+0xFF86454E,8c3f62,8c3f3a
0x3d8129,+0xFF86454D,8c3f63,8c3f3b
0x3eb4f5,+0xFF5304C9,bf7fe7,bf7fbf
0x3facb0,+0x128488,000028,000000
0x3fc1c0,+0x128488,000028,000000
0x3fc220,+0x128488,000028,000000
0x3fd830,+0x128488,000028,000000
0x401dfc,+0x128484,00002c,000004
0x5f4ae2,+0xFF9A425E,784252,78422a
0x5f63da,+0x12452E,003f82,003f5a
0x5f9095,+0xFF8624F6,8c5fba,8c5f92
0x6034fa,+0x124334,00417c,004154
0x6035d6,+0x124334,00417c,004154
0x634b32,+0x128488,000028,000000
0x637b10,+0x128470,000040,000018
0x6637c0,+0x128488,000028,000000
0x663800,+0x128488,000028,000000
0x664c50,+0x128488,000028,000000
0x664cb0,+0x128488,000028,000000
0x68749a,+0x124300,0041b0,004188
0x69b26c,+0x128488,000028,000000
0x69b3d0,+0x12841C,000094,00006c
0x69d27d,+0x128488,000028,000000
0x69d2cd,+0x128488,000028,000000
0x6a79c0,+0x128488,000028,000000
0x6a7a00,+0x128488,000028,000000
0x6a7df0,+0x128488,000028,000000
0x6ae1e9,+0x128488,000028,000000
0x6ae491,+0x128488,000028,000000
0x6aeced,+0x128488,000028,000000
0x6b61f0,+0x12847D,000033,00000b
0x6b62ee,+0xE84F5,03ffbb,03ff93
0x6b909e,+0xE84F7,03ffb9,03ff91
0x6bb630,+0x128470,000040,000018
0x6bbbe0,+0x128451,00005f,000037
0x6bbde0,+0x128448,000068,000040
0x6bbdf0,+0x128449,000067,00003f
0x6bbe90,+0x128446,00006a,000042
0x6bdd90,+0x128488,000028,000000
0x6be150,+0x128482,00002e,000006
0x6be180,+0x128484,00002c,000004
0x6be2d0,+0x12847C,000034,00000c
0x6be2f0,+0x12847A,000036,00000e
0x6be380,+0x128479,000037,00000f
0x6be3b0,+0x128478,000038,000010
0x6be5b0,+0x128475,00003b,000013
0x6be650,+0x128470,000040,000018
0x6be710,+0x12846F,000041,000019
0x6be980,+0x12846A,000046,00001e
0x6c17b0,+0x128472,00003e,000016
0x6c19b0,+0x128471,00003f,000017
0x6d4250,+0x128455,00005b,000033
0x6da450,+0x128484,00002c,000004
0x6df950,+0x128488,000028,000000
0x6dfe50,+0x128481,00002f,000007
0x6e1b2d,+0x128488,000028,000000
0x6e1b6d,+0x128488,000028,000000
0x6e1bad,+0x128488,000028,000000
0x6e1bed,+0x128488,000028,000000
